open,high,close,volum,yesterday close,today close,tomorrow close,go up,go down
0.139766448,0.142119831,0.14201971,0.048550974,0.14118851,0.144519554,0.14594849,1,0
0.144519554,0.15933986,0.147470269,0.061611615,0.14594849,0.163106634,0.16456245,1,0
0.163106634,0.163597024,0.168427475,0.070943194,0.16456245,0.167062396,0.168523933,1,0
0.167062396,0.164736983,0.171409349,0.043858421,0.168523933,0.169706925,0.171172286,1,0
0.169706925,0.173131071,0.17423196,0.063449383,0.171172286,0.170389119,0.171855467,1,0
0.170389119,0.168477576,0.173112637,0.044438299,0.171855467,0.173042516,0.174512701,1,0
0.173042516,0.171514603,0.174612431,0.045312577,0.174512701,0.176834326,0.178309995,0,1
0.176834326,0.17064622,0.177249263,0.034851573,0.178309995,0.173374745,0.17484541,1,0
0.173374745,0.171870816,0.177576645,0.032377724,0.17484541,0.174105605,0.175577327,0,1
0.174105605,0.174475853,0.17531591,0.046169012,0.175577327,0.17101367,0.172480921,1,0
0.17101367,0.168112448,0.173807259,0.038407565,0.172480921,0.172231843,0.173700855,1,0
0.172231843,0.174043918,0.176594442,0.040361309,0.173700855,0.180134499,0.18161494,1,0
0.180134499,0.181912519,0.185433944,0.047997859,0.18161494,0.185777955,0.187266558,1,0
0.185777955,0.186659456,0.191070309,0.045214443,0.187266558,0.191505551,0.193002437,0,1
0.191505551,0.18691777,0.194499027,0.040798448,0.193002437,0.191168888,0.192665287,1,0
0.191168888,0.192332722,0.196343864,0.054786895,0.192665287,0.194637392,0.196138807,1,0
0.194637392,0.19531626,0.195883789,0.046677521,0.196138807,0.201361674,0.202872813,1,0
0.201361674,0.19862046,0.205453232,0.038907153,0.202872813,0.204533367,0.206049093,0,1
0.204533367,0.198491304,0.201909482,0.030868256,0.206049093,0.199744815,0.201253617,0,1
0.199744815,0.195979764,0.20174579,0.037854451,0.201253617,0.198885476,0.200393035,0,1
0.198885476,0.196371636,0.199356737,0.041815465,0.200393035,0.195656194,0.197159083,0,1
0.195656194,0.192061037,0.19853828,0.037051542,0.197159083,0.194203234,0.195704021,1,0
0.194203234,0.191958625,0.199073585,0.031696144,0.195704021,0.197760311,0.199266242,1,0
0.197760311,0.197471533,0.203037608,0.032883556,0.199266242,0.202256485,0.203768919,1,0
0.202256485,0.203256071,0.204785181,0.040878739,0.203768919,0.203784716,0.20529936,1,0
0.203784716,0.200054337,0.206289349,0.036178156,0.20529936,0.206070466,0.207588415,1,0
0.206070466,0.20476567,0.211310805,0.037827687,0.207588415,0.209671829,0.211194986,1,0
0.209671829,0.208528549,0.214934159,0.042306131,0.211194986,0.214517969,0.216048135,1,0
0.214517969,0.21950979,0.21977421,0.047025448,0.216048135,0.225441615,0.226987578,0,1
0.225441615,0.220885829,0.227852716,0.046320673,0.226987578,0.223129315,0.224671934,1,0
0.223129315,0.21904225,0.226773195,0.030028771,0.224671934,0.224848048,0.226393153,1,0
0.224848048,0.221629457,0.230073595,8.89E-04,0.226393153,0.227266656,0.228815259,0,1
0.227266656,0.221518131,0.219809584,0.03933537,0.228815259,0.214553387,0.216083604,1,0
0.214553387,0.214023627,0.213916637,0.048372549,0.216083604,0.219714019,0.2212517,0,1
0.219714019,0.213751996,0.217212609,0.042859246,0.2212517,0.21792883,0.219463929,0,1
0.21792883,0.214513454,0.213606914,0.049255749,0.219463929,0.208577702,0.210099277,1,0
0.208577702,0.214402127,0.213841407,0.041280193,0.210099277,0.220360741,0.221899357,1,0
0.220360741,0.21984377,0.225596355,0.037845529,0.221899357,0.225215695,0.226761331,0,1
0.225215695,0.221878855,0.223857694,0.042886009,0.226761331,0.222416137,0.223957725,1,0
0.222416137,0.218178325,0.225233599,0.039897406,0.223957725,0.223350801,0.22489374,0,1
0.223350801,0.217532651,0.219862671,0.044750541,0.22489374,0.215169124,0.216700232,1,0
0.215169124,0.210461168,0.215190741,0.039424582,0.216700232,0.215806978,0.217339008,0,1
0.215806978,0.209824355,0.207979406,0.044143899,0.217339008,0.204617505,0.206133353,1,0
0.204617505,0.208207887,0.209886187,0.047364453,0.206133353,0.214198988,0.215728693,0,1
0.214198988,0.209748687,0.215854364,0.042689743,0.215728693,0.213804736,0.215333871,1,0
0.213804736,0.215867206,0.219061874,0.04392979,0.215333871,0.221795965,0.223336656,1,0
0.221795965,0.219812623,0.226286549,0.052868836,0.223336656,0.22536191,0.226907758,1,0
0.22536191,0.229604928,0.230604526,0.044411535,0.226907758,0.231922295,0.23347763,1,0
0.231922295,0.228865702,0.232679427,0.038675201,0.23347763,0.232245655,0.233801459,1,0
0.232245655,0.238070225,0.237479621,0.040191806,0.233801459,0.243306702,0.244878502,0,1
0.243306702,0.237994503,0.24689423,0,0.244878502,0.242301148,0.243871493,0,1
0.242301148,0.238796079,0.245266172,0.025387961,0.243871493,0.241955617,0.243525462,1,0
0.241955617,0.243400541,0.245093624,0.030288378,0.243525462,0.249184947,0.250765248,0,1
0.249184947,0.244767666,0.249703556,0.030977987,0.250765248,0.244808384,0.246382355,0,1
0.244808384,0.241316533,0.246942889,0.042127707,0.246382355,0.243612327,0.245184569,0,1
0.243612327,0.24649546,0.244350343,0.056205366,0.245184569,0.243111767,0.244683285,1,0
0.243111767,0.245293098,0.24833208,0.047105739,0.244683285,0.25050056,0.252082764,1,0
0.25050056,0.257044766,0.255711589,0.066009769,0.252082764,0.262708836,0.264308694,0,1
0.262708836,0.256973501,0.261418756,0.054956398,0.264308694,0.261552685,0.263150872,1,0
0.261552685,0.259600826,0.263250307,0.061629458,0.263150872,0.263927008,0.265528628,0,1
0.263927008,0.258701296,0.259498635,0.050941856,0.265528628,0.258961311,0.26055575,0,1
0.258961311,0.25346002,0.252840318,0.049353882,0.26055575,0.24816609,0.249744918,0,1
0.24816609,0.246023408,0.238315793,0.061067422,0.249744918,0.245902511,0.247478064,0,1
0.245902511,0.241151772,0.240120881,0.049086246,0.247478064,0.23606407,0.237625395,1,0
0.23606407,0.244023983,0.241293238,0.049166537,0.237625395,0.249827235,0.251408464,1,0
0.249827235,0.248481514,0.251344953,0.048042465,0.251408464,0.253698804,0.255285632,1,0
0.253698804,0.257743874,0.25870232,0.058765751,0.255285632,0.255745331,0.25733512,0,1
0.255745331,0.250115757,0.250141542,0.055741464,0.25733512,0.246239174,0.247815214,0,1
0.246239174,0.240973638,0.243850411,0.04807815,0.247815214,0.241822703,0.243392357,1,0
0.241822703,0.239891517,0.244509605,0.042547004,0.243392357,0.245716443,0.247291728,1,0
0.245716443,0.248472599,0.250933483,0.05793608,0.247291728,0.253836151,0.255423178,0,1
0.253836151,0.252640669,0.254844418,0.057704128,0.255423178,0.249787382,0.251368554,1,0
0.249787382,0.254328401,0.254999307,0.053689587,0.251368554,0.259621335,0.261216728,1,0
0.259621335,0.260549333,0.260312718,0.059773847,0.261216728,0.265942551,0.267547087,0,1
0.265942551,0.262054474,0.267448877,0.049282512,0.267547087,0.263001212,0.264601493,0,1
0.263001212,0.257485616,0.256941516,0.053395187,0.264601493,0.258124088,0.259717316,1,0
