Date,Open,High,Low,Close,Adj Close,Volume
2019-01-17,2609.280029,2645.060059,2606.360107,2635.959961,2635.959961,3772270000
2019-01-18,2651.270020,2675.469971,2647.580078,2670.709961,2670.709961,3986730000
2019-01-22,2657.879883,2657.879883,2617.270020,2632.899902,2632.899902,3908030000
2019-01-23,2643.479980,2653.189941,2612.860107,2638.699951,2638.699951,3335610000
2019-01-24,2638.840088,2647.199951,2627.010010,2642.330078,2642.330078,3433250000
