Open,High,Low,Volume,Adj Close,,Open,High,Low,Volume,Adj Close,,Open,High,Low,Volume,Adj Close
1186.869995,1192.969971,1186.829956,256950000,1192.329956,,,6.099976,-0.040039,,5.459961,,0.224847062,0.064769335,-0.000383332,0.000889444,0.559662377
1192.329956,1192.719971,1163.630005,687900000,1163.630005,,,0.390015,-28.699951,,-28.699951,,0.227265661,0.004141166,-0.274772149,0.03933537,0.3850207
1163.630005,1175.890015,1150.310059,789200000,1175.280029,,,12.26001,-13.319946,,11.650024,,0.214552448,0.130176364,-0.127524615,0.048372549,0.591308916
1175.280029,1175.280029,1157.76001,727400000,1171.25,,,0,-17.520019,,-4.030029,,0.219713057,0,-0.167735941,0.042859246,0.511145046
1171.25,1176.98999,1149.609985,799100000,1150.140015,,,5.73999,-21.640015,,-21.109985,,0.217927876,0.060947016,-0.207180613,0.049255749,0.423824208
1150.140015,1176.73999,1150.140015,709700000,1176.73999,,,26.599975,0,,26.599975,,0.208576789,0.282437619,0,0.041280193,0.667740158
1176.73999,1188.959961,1176.709961,671200000,1187.699951,,,12.219971,-0.030029,,10.959961,,0.220359776,0.129751232,-0.000287496,0.037845529,0.587780987
1187.699951,1193.530029,1172.780029,727700000,1181.380005,,,5.830078,-14.919922,,-6.319946,,0.225214708,0.061903568,-0.142842719,0.042886009,0.499437904
1181.380005,1185.219971,1175.890015,694200000,1183.48999,,,3.839966,-5.48999,,2.109985,,0.222415162,0.040772627,-0.052560938,0.039897406,0.542535711
1183.48999,1183.77002,1163.75,748600000,1165.02002,,,0.28003,-19.73999,,-18.46997,,0.223349822,0.002973349,-0.188989852,0.044750541,0.437321217
1165.02002,1167.890015,1153.189941,688900000,1166.459961,,,2.869995,-11.830079,,1.439941,,0.215168182,0.030473508,-0.113260689,0.039424582,0.539110128
1166.459961,1166.459961,1136.890015,741800000,1141.199951,,,0,-29.569946,,-25.26001,,0.215806033,0,-0.283101446,0.044143899,0.402607311
1141.199951,1162.829956,1141.199951,777900000,1162.829956,,,21.630005,0,,21.630005,,0.20461661,0.229666649,0,0.047364453,0.642331314
1162.829956,1166.290039,1154.689941,725500000,1161.939941,,,3.460083,-8.140015,,-0.890015,,0.21419805,0.036739042,-0.077932169,0.042689743,0.527198287
1161.939941,1180.030029,1161.939941,739400000,1179.97998,,,18.090088,0,,18.040039,,0.2138038,0.192079932,0,0.04392979,0.623977704
1179.97998,1188.890015,1178.27002,839600000,1188.030029,,,8.910035,-1.70996,,8.050049,,0.221794994,0.094606445,-0.016371087,0.052868836,0.572904136
1188.030029,1210.880005,1188.030029,744800000,1202.839966,,,22.849976,0,,14.809937,,0.225360923,0.242620259,0,0.044411535,0.607463891
1202.839966,1209.219971,1192.719971,680500000,1203.569946,,,6.380005,-10.119995,,0.72998,,0.231921278,0.067742674,-0.096888416,0.038675201,0.53548047
1203.569946,1229.890015,1203.569946,697500000,1228.540039,,,26.320069,0,,24.970093,,0.232244637,0.279465587,0,0.040191806,0.659407428
1228.540039,1229.719971,1224.849976,246980000,1226.27002,,,1.179932,-3.690063,,-2.270019,,0.243305635,0.012528477,-0.035328511,0,0.520143052
1226.27002,1231.52002,1221.170044,531560000,1225.48999,,,5.25,-5.099976,,-0.78003,,0.242300085,0.055744319,-0.04882696,0.025387961,0.527760583
1225.48999,1241.859985,1220.780029,586490000,1241.810059,,,16.369995,-4.709961,,16.320069,,0.241954556,0.173816044,-0.045092973,0.030288378,0.615184402
1241.810059,1244.930054,1231.199951,594220000,1231.930054,,,3.119995,-10.610108,,-9.880005,,0.249183854,0.033128,-0.101580737,0.030977987,0.481237193
1231.930054,1237.180054,1224.959961,719200000,1229.22998,,,5.25,-6.970093,,-2.700074,,0.24480731,0.055744319,-0.066731383,0.042127707,0.517944407
1229.22998,1248.810059,1219.099976,877000000,1228.099976,,,19.580079,-10.130004,,-1.130004,,0.243611259,0.207900605,-0.096984241,0.056205366,0.52597135
1228.099976,1246.109985,1228.099976,775000000,1244.780029,,,18.010009,0,,16.680053,,0.243110701,0.191229656,0,0.047105739,0.617024811
1244.780029,1272.5,1244.780029,986900000,1272.339966,,,27.719971,0,,27.559937,,0.250499461,0.294329698,0,0.066009769,0.67264794
1272.339966,1272.339966,1257.680054,863000000,1269.72998,,,0,-14.659912,,-2.609986,,0.262707682,0,-0.140353394,0.054956398,0.51840498
1269.72998,1278.23999,1261.819946,937800000,1275.089966,,,8.51001,-7.910034,,5.359986,,0.261551537,0.090358993,-0.07573034,0.061629458,0.559151258
1275.089966,1276.219971,1253.339966,818000000,1263.880005,,,1.130005,-21.75,,-11.209961,,0.26392585,0.011998354,-0.208233605,0.050941856,0.474437827
1263.880005,1264.449951,1238.290039,800200000,1239.51001,,,0.569946,-25.589966,,-24.369995,,0.258960175,0.006051667,-0.244997281,0.049353882,0.40715749
1239.51001,1247.75,1205.459961,931500000,1234.400024,,,8.23999,-34.050049,,-5.109986,,0.248165002,0.08749193,-0.325993767,0.061067422,0.505623793
1234.400024,1236.810059,1209.540039,797200000,1212.189941,,,2.410035,-24.859985,,-22.210083,,0.245901432,0.025589669,-0.238008473,0.049086246,0.418199985
1212.189941,1243.26001,1212.189941,798100000,1243.26001,,,31.070069,0,,31.070069,,0.236063035,0.329900924,0,0.049166537,0.6905934
