Date,Open,High,Low,Close,Adj Close,Volume
2018-10-05,1647.250000,1651.530029,1618.140015,1632.109985,1632.109985,33289800
2018-10-08,1631.199951,1633.859985,1616.660034,1629.520020,1629.520020,33303200
2018-10-09,1628.060059,1635.989990,1621.250000,1621.869995,1621.869995,35205000
2018-10-10,1621.410034,1621.410034,1575.250000,1575.410034,1575.410034,45012500
2018-10-11,1575.099976,1580.890015,1545.380005,1545.380005,1545.380005,48906300
2018-10-12,1546.849976,1567.640015,1530.979980,1546.680054,1546.680054,39660400
2018-10-15,1546.680054,1562.300049,1537.550049,1553.089966,1553.089966,33001400
2018-10-16,1554.489990,1598.010010,1554.109985,1596.839966,1596.839966,34283400
2018-10-17,1596.380005,1596.380005,1571.510010,1589.599976,1589.599976,33217100
2018-10-18,1588.739990,1588.739990,1555.569946,1560.750000,1560.750000,36164400
2018-10-19,1560.640015,1569.810059,1538.739990,1542.040039,1542.040039,35664900
2018-10-22,1542.420044,1551.359985,1535.780029,1539.500000,1539.500000,33071400
2018-10-23,1536.930054,1537.160034,1501.040039,1526.589966,1526.589966,43485800
2018-10-24,1526.560059,1527.709961,1468.459961,1468.699951,1468.699951,47093100
2018-10-25,1470.530029,1506.780029,1470.530029,1500.400024,1500.400024,46347700
2018-10-26,1500.150024,1501.300049,1459.160034,1483.819946,1483.819946,48031500
2018-10-29,1485.199951,1513.280029,1461.650024,1477.310059,1477.310059,46737000
2018-10-30,1476.969971,1507.160034,1474.800049,1506.640015,1506.640015,51063800
2018-10-31,1508.819946,1526.329956,1508.819946,1511.410034,1511.410034,51124200
2018-11-01,1512.680054,1547.140015,1512.680054,1544.979980,1544.979980,47084200
2018-11-02,1546.130005,1557.180054,1535.959961,1547.979980,1547.979980,42379300
2018-11-05,1548.339966,1554.770020,1534.760010,1547.510010,1547.510010,36233200
2018-11-06,1547.099976,1558.859985,1544.650024,1556.099976,1556.099976,35108600
2018-11-07,1556.270020,1582.160034,1556.270020,1582.160034,1582.160034,39147500
2018-11-08,1581.619995,1586.170044,1573.150024,1578.209961,1578.209961,36304900
2018-11-09,1577.040039,1577.040039,1539.920044,1549.489990,1549.489990,40190900
2018-11-12,1549.010010,1549.010010,1518.040039,1518.790039,1518.790039,36709300
2018-11-13,1519.989990,1536.709961,1513.300049,1514.800049,1514.800049,40914400
2018-11-14,1516.079956,1530.619995,1494.920044,1502.510010,1502.510010,44023700
2018-11-15,1502.329956,1524.290039,1491.660034,1524.119995,1524.119995,41791400
2018-11-16,1523.750000,1530.000000,1510.410034,1527.530029,1527.530029,39751800
2018-11-19,1527.329956,1527.329956,1492.949951,1496.540039,1496.540039,37729000
2018-11-20,1496.140015,1496.140015,1465.250000,1469.010010,1469.010010,43579000
2018-11-21,1469.449951,1499.369995,1469.449951,1488.280029,1488.280029,32335500
2018-11-23,1485.729980,1498.650024,1476.810059,1488.680054,1488.680054,16516500
2018-11-26,1489.099976,1510.290039,1489.099976,1505.959961,1505.959961,34439500
2018-11-27,1505.449951,1505.449951,1491.270020,1492.859985,1492.859985,34852200
2018-11-28,1493.670044,1530.709961,1486.339966,1530.380005,1530.380005,39516700
2018-11-29,1529.699951,1534.619995,1514.569946,1525.390015,1525.390015,35607700
2018-11-30,1524.869995,1535.130005,1519.989990,1533.270020,1533.270020,46585800
2018-12-03,1536.329956,1553.339966,1529.530029,1548.959961,1548.959961,41860600
2018-12-04,1548.109985,1548.109985,1479.910034,1480.750000,1480.750000,44638400
2018-12-06,1479.160034,1479.160034,1442.829956,1477.410034,1477.410034,51414700
2018-12-07,1477.510010,1485.630005,1440.849976,1448.089966,1448.089966,42166900
2018-12-10,1448.010010,1449.930054,1422.979980,1443.099976,1443.099976,41510300
2018-12-11,1444.290039,1465.760010,1431.880005,1440.130005,1440.130005,39058700
2018-12-12,1440.699951,1471.959961,1440.699951,1455.319946,1455.319946,39558900
2018-12-13,1455.680054,1460.550049,1431.680054,1432.699951,1432.699951,39277200
2018-12-14,1431.819946,1435.390015,1407.109985,1410.810059,1410.810059,40350200
2018-12-17,1410.770020,1417.099976,1372.729980,1378.140015,1378.140015,46163500
2018-12-18,1379.489990,1399.430054,1373.719971,1377.180054,1377.180054,44708800
2018-12-19,1377.209961,1392.920044,1344.150024,1349.229980,1349.229980,51279400
2018-12-20,1348.650024,1350.890015,1313.020020,1326.000000,1326.000000,55857800
2018-12-21,1325.869995,1334.760010,1289.489990,1292.089966,1292.089966,76090100
2018-12-24,1290.540039,1290.920044,1266.920044,1266.920044,1266.920044,26139300
2018-12-26,1268.189941,1330.420044,1268.189941,1329.810059,1329.810059,42229900
2018-12-27,1329.790039,1331.979980,1289.319946,1331.819946,1331.819946,40966100
2018-12-28,1332.060059,1356.229980,1326.439941,1337.920044,1337.920044,37026200
2018-12-31,1338.520020,1348.560059,1329.170044,1348.560059,1348.560059,34428700
2019-01-02,1346.109985,1357.770020,1325.180054,1355.910034,1355.910034,37331600
2019-01-03,1355.020020,1355.020020,1328.000000,1330.829956,1330.829956,38228600
2019-01-04,1333.099976,1383.160034,1333.099976,1380.750000,1380.750000,42134100
2019-01-07,1380.839966,1411.900024,1380.839966,1405.369995,1405.369995,41047100
2019-01-08,1405.869995,1426.550049,1404.010010,1426.550049,1426.550049,40810300
2019-01-09,1427.000000,1442.420044,1427.000000,1438.810059,1438.810059,40524800
